slug	file_commons	autore	licenza	url	note
nakano-broadway					preesistente (images/nakano.jpg)
toyosu-market	Toyosu Market Tokyo 2.jpg	Arne Müseler	CC BY-SA 3.0 de	https://commons.wikimedia.org/wiki/File:Toyosu_Market_Tokyo_2.jpg	
sengakuji	Sengakuji tombes.jpg	Hyppolyte de Saint-Rambert	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Sengakuji_tombes.jpg	
boroichi	Setagaya boro ichi shop.jpg	おむこさん志望	CC BY 3.0	https://commons.wikimedia.org/wiki/File:Setagaya_boro_ichi_shop.jpg	
gotokuji	2015-10-20 Maneki neko in Gotokuji.jpg	John Gillespie	CC BY-SA 2.0	https://commons.wikimedia.org/wiki/File:2015-10-20_Maneki_neko_in_Gotokuji.jpg	
sunshine-city	Sunshine City 2012.JPG	Kakidai	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Sunshine_City_2012.JPG	
otome-road	Animate Ikebukuro 20120613 2.jpg	Dick Thomas Johnson	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Animate_Ikebukuro_20120613_2.jpg	Animate Ikebukuro (2012), all'imbocco di Otome Road
marunouchi-illumination	Marunouchi Nakadori Street at night 201912.jpg	Wpcpey	CC BY 4.0	https://commons.wikimedia.org/wiki/File:Marunouchi_Nakadori_Street_at_night_201912.jpg	
tokyo-station	Tokyo Railway Station. (51337172927).jpg	Bernard Spragg. NZ from Christchurch, New Zealand	Public domain	https://commons.wikimedia.org/wiki/File:Tokyo_Railway_Station._(51337172927).jpg	
nihonbashi-bridge	NihonbashiTokyo.jpg	Markus Leupold-Löwenthal	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:NihonbashiTokyo.jpg	
